招标单位,年份,地区,新老客户,服装类型,单位,中标情况,报价,成本,限价,评标方法
国网江苏省电力有限公司,2023,江苏,老,工作服3,宁波市富盾制式服装有限公司,0,788.328417,,,"1.确定有效投标人(仅为计算基准价使用)
（1）初评合格投标人在5名以内（含5名）时，评标价格在所有初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则所有初评合格投标人为有效投标人。
（2）评合格投标人在5名-10名（含10名）时，先去掉评标价最高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（3）初评合格投标人在10名-20名（含20名）时，先去掉评标价最高、次高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（4）初评合格投标人在20名-30名（含30名）时，先去掉评标价最高、次高、第三高和最低、次低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（5）初评合格投标人在30名（不含30名）以上时，先去掉评标价四个较高和三个较低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
2.计算基准价
（1）计算有效投标人的评标价算术平均值A2。
（2）基准价=A2*（1-C）。
其中C为基准价浮动系数。
3.计算价格部分得分（按百分制计算，实际得分应以下述公式计算结果乘以价格评分权重）
价格部分得分=100-100×n×|投标人的评标总价-基准价|/基准价；
    当投标人的评标总价>=基准价，n=n1；
    当投标人的评标总价<基准价，n=n2；
当计算出的价格部分得分<0，按0分计。
4.参数取值：C=0，n1=1.0，n2=1.0。"
国网江苏省电力有限公司,2023,江苏,老,工作服3,宁波博洋服饰集团有限公司,0,792.966087,,,"1.确定有效投标人(仅为计算基准价使用)
（1）初评合格投标人在5名以内（含5名）时，评标价格在所有初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则所有初评合格投标人为有效投标人。
（2）评合格投标人在5名-10名（含10名）时，先去掉评标价最高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（3）初评合格投标人在10名-20名（含20名）时，先去掉评标价最高、次高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（4）初评合格投标人在20名-30名（含30名）时，先去掉评标价最高、次高、第三高和最低、次低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（5）初评合格投标人在30名（不含30名）以上时，先去掉评标价四个较高和三个较低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
2.计算基准价
（1）计算有效投标人的评标价算术平均值A2。
（2）基准价=A2*（1-C）。
其中C为基准价浮动系数。
3.计算价格部分得分（按百分制计算，实际得分应以下述公式计算结果乘以价格评分权重）
价格部分得分=100-100×n×|投标人的评标总价-基准价|/基准价；
    当投标人的评标总价>=基准价，n=n1；
    当投标人的评标总价<基准价，n=n2；
当计算出的价格部分得分<0，按0分计。
4.参数取值：C=0，n1=1.0，n2=1.0。"
国网江苏省电力有限公司,2023,江苏,老,工作服3,江苏双惠鞋服有限公司,0,804.250104,,,"1.确定有效投标人(仅为计算基准价使用)
（1）初评合格投标人在5名以内（含5名）时，评标价格在所有初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则所有初评合格投标人为有效投标人。
（2）评合格投标人在5名-10名（含10名）时，先去掉评标价最高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（3）初评合格投标人在10名-20名（含20名）时，先去掉评标价最高、次高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（4）初评合格投标人在20名-30名（含30名）时，先去掉评标价最高、次高、第三高和最低、次低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（5）初评合格投标人在30名（不含30名）以上时，先去掉评标价四个较高和三个较低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
2.计算基准价
（1）计算有效投标人的评标价算术平均值A2。
（2）基准价=A2*（1-C）。
其中C为基准价浮动系数。
3.计算价格部分得分（按百分制计算，实际得分应以下述公式计算结果乘以价格评分权重）
价格部分得分=100-100×n×|投标人的评标总价-基准价|/基准价；
    当投标人的评标总价>=基准价，n=n1；
    当投标人的评标总价<基准价，n=n2；
当计算出的价格部分得分<0，按0分计。
4.参数取值：C=0，n1=1.0，n2=1.0。"
国网江苏省电力有限公司,2023,江苏,老,工作服3,南京际华五三零二服饰装具有限责任公司,0,805.87709,,,"1.确定有效投标人(仅为计算基准价使用)
（1）初评合格投标人在5名以内（含5名）时，评标价格在所有初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则所有初评合格投标人为有效投标人。
（2）评合格投标人在5名-10名（含10名）时，先去掉评标价最高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（3）初评合格投标人在10名-20名（含20名）时，先去掉评标价最高、次高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（4）初评合格投标人在20名-30名（含30名）时，先去掉评标价最高、次高、第三高和最低、次低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（5）初评合格投标人在30名（不含30名）以上时，先去掉评标价四个较高和三个较低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
2.计算基准价
（1）计算有效投标人的评标价算术平均值A2。
（2）基准价=A2*（1-C）。
其中C为基准价浮动系数。
3.计算价格部分得分（按百分制计算，实际得分应以下述公式计算结果乘以价格评分权重）
价格部分得分=100-100×n×|投标人的评标总价-基准价|/基准价；
    当投标人的评标总价>=基准价，n=n1；
    当投标人的评标总价<基准价，n=n2；
当计算出的价格部分得分<0，按0分计。
4.参数取值：C=0，n1=1.0，n2=1.0。"
国网江苏省电力有限公司,2023,江苏,老,工作服3,江苏汇鸿国际集团中锦控股有限公司,0,807.896199,,,"1.确定有效投标人(仅为计算基准价使用)
（1）初评合格投标人在5名以内（含5名）时，评标价格在所有初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则所有初评合格投标人为有效投标人。
（2）评合格投标人在5名-10名（含10名）时，先去掉评标价最高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（3）初评合格投标人在10名-20名（含20名）时，先去掉评标价最高、次高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（4）初评合格投标人在20名-30名（含30名）时，先去掉评标价最高、次高、第三高和最低、次低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（5）初评合格投标人在30名（不含30名）以上时，先去掉评标价四个较高和三个较低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
2.计算基准价
（1）计算有效投标人的评标价算术平均值A2。
（2）基准价=A2*（1-C）。
其中C为基准价浮动系数。
3.计算价格部分得分（按百分制计算，实际得分应以下述公式计算结果乘以价格评分权重）
价格部分得分=100-100×n×|投标人的评标总价-基准价|/基准价；
    当投标人的评标总价>=基准价，n=n1；
    当投标人的评标总价<基准价，n=n2；
当计算出的价格部分得分<0，按0分计。
4.参数取值：C=0，n1=1.0，n2=1.0。"
国网江苏省电力有限公司,2023,江苏,老,工作服3,杉杉品牌运营股份有限公司,0,808.031661,,,"1.确定有效投标人(仅为计算基准价使用)
（1）初评合格投标人在5名以内（含5名）时，评标价格在所有初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则所有初评合格投标人为有效投标人。
（2）评合格投标人在5名-10名（含10名）时，先去掉评标价最高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（3）初评合格投标人在10名-20名（含20名）时，先去掉评标价最高、次高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（4）初评合格投标人在20名-30名（含30名）时，先去掉评标价最高、次高、第三高和最低、次低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（5）初评合格投标人在30名（不含30名）以上时，先去掉评标价四个较高和三个较低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
2.计算基准价
（1）计算有效投标人的评标价算术平均值A2。
（2）基准价=A2*（1-C）。
其中C为基准价浮动系数。
3.计算价格部分得分（按百分制计算，实际得分应以下述公式计算结果乘以价格评分权重）
价格部分得分=100-100×n×|投标人的评标总价-基准价|/基准价；
    当投标人的评标总价>=基准价，n=n1；
    当投标人的评标总价<基准价，n=n2；
当计算出的价格部分得分<0，按0分计。
4.参数取值：C=0，n1=1.0，n2=1.0。"
国网江苏省电力有限公司,2023,江苏,老,工作服3,陕西美戈尔衣业有限公司,0,810.46949,,,"1.确定有效投标人(仅为计算基准价使用)
（1）初评合格投标人在5名以内（含5名）时，评标价格在所有初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则所有初评合格投标人为有效投标人。
（2）评合格投标人在5名-10名（含10名）时，先去掉评标价最高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（3）初评合格投标人在10名-20名（含20名）时，先去掉评标价最高、次高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（4）初评合格投标人在20名-30名（含30名）时，先去掉评标价最高、次高、第三高和最低、次低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（5）初评合格投标人在30名（不含30名）以上时，先去掉评标价四个较高和三个较低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
2.计算基准价
（1）计算有效投标人的评标价算术平均值A2。
（2）基准价=A2*（1-C）。
其中C为基准价浮动系数。
3.计算价格部分得分（按百分制计算，实际得分应以下述公式计算结果乘以价格评分权重）
价格部分得分=100-100×n×|投标人的评标总价-基准价|/基准价；
    当投标人的评标总价>=基准价，n=n1；
    当投标人的评标总价<基准价，n=n2；
当计算出的价格部分得分<0，按0分计。
4.参数取值：C=0，n1=1.0，n2=1.0。"
国网江苏省电力有限公司,2023,江苏,老,工作服3,江苏成龙服饰科技有限公司,0,811.270844,,,"1.确定有效投标人(仅为计算基准价使用)
（1）初评合格投标人在5名以内（含5名）时，评标价格在所有初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则所有初评合格投标人为有效投标人。
（2）评合格投标人在5名-10名（含10名）时，先去掉评标价最高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（3）初评合格投标人在10名-20名（含20名）时，先去掉评标价最高、次高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（4）初评合格投标人在20名-30名（含30名）时，先去掉评标价最高、次高、第三高和最低、次低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（5）初评合格投标人在30名（不含30名）以上时，先去掉评标价四个较高和三个较低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
2.计算基准价
（1）计算有效投标人的评标价算术平均值A2。
（2）基准价=A2*（1-C）。
其中C为基准价浮动系数。
3.计算价格部分得分（按百分制计算，实际得分应以下述公式计算结果乘以价格评分权重）
价格部分得分=100-100×n×|投标人的评标总价-基准价|/基准价；
    当投标人的评标总价>=基准价，n=n1；
    当投标人的评标总价<基准价，n=n2；
当计算出的价格部分得分<0，按0分计。
4.参数取值：C=0，n1=1.0，n2=1.0。"
国网江苏省电力有限公司,2023,江苏,老,工作服3,浙江爱伊美服装有限公司,0,816.00846,,,"1.确定有效投标人(仅为计算基准价使用)
（1）初评合格投标人在5名以内（含5名）时，评标价格在所有初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则所有初评合格投标人为有效投标人。
（2）评合格投标人在5名-10名（含10名）时，先去掉评标价最高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（3）初评合格投标人在10名-20名（含20名）时，先去掉评标价最高、次高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（4）初评合格投标人在20名-30名（含30名）时，先去掉评标价最高、次高、第三高和最低、次低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（5）初评合格投标人在30名（不含30名）以上时，先去掉评标价四个较高和三个较低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
2.计算基准价
（1）计算有效投标人的评标价算术平均值A2。
（2）基准价=A2*（1-C）。
其中C为基准价浮动系数。
3.计算价格部分得分（按百分制计算，实际得分应以下述公式计算结果乘以价格评分权重）
价格部分得分=100-100×n×|投标人的评标总价-基准价|/基准价；
    当投标人的评标总价>=基准价，n=n1；
    当投标人的评标总价<基准价，n=n2；
当计算出的价格部分得分<0，按0分计。
4.参数取值：C=0，n1=1.0，n2=1.0。"
国网江苏省电力有限公司,2023,江苏,老,工作服3,浙江乔顿服饰股份有限公司,0,816.565475,,,"1.确定有效投标人(仅为计算基准价使用)
（1）初评合格投标人在5名以内（含5名）时，评标价格在所有初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则所有初评合格投标人为有效投标人。
（2）评合格投标人在5名-10名（含10名）时，先去掉评标价最高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（3）初评合格投标人在10名-20名（含20名）时，先去掉评标价最高、次高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（4）初评合格投标人在20名-30名（含30名）时，先去掉评标价最高、次高、第三高和最低、次低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（5）初评合格投标人在30名（不含30名）以上时，先去掉评标价四个较高和三个较低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
2.计算基准价
（1）计算有效投标人的评标价算术平均值A2。
（2）基准价=A2*（1-C）。
其中C为基准价浮动系数。
3.计算价格部分得分（按百分制计算，实际得分应以下述公式计算结果乘以价格评分权重）
价格部分得分=100-100×n×|投标人的评标总价-基准价|/基准价；
    当投标人的评标总价>=基准价，n=n1；
    当投标人的评标总价<基准价，n=n2；
当计算出的价格部分得分<0，按0分计。
4.参数取值：C=0，n1=1.0，n2=1.0。"
国网江苏省电力有限公司,2023,江苏,老,工作服3,江苏澳洋纺织实业有限公司,0,827.55098,,,"1.确定有效投标人(仅为计算基准价使用)
（1）初评合格投标人在5名以内（含5名）时，评标价格在所有初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则所有初评合格投标人为有效投标人。
（2）评合格投标人在5名-10名（含10名）时，先去掉评标价最高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（3）初评合格投标人在10名-20名（含20名）时，先去掉评标价最高、次高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（4）初评合格投标人在20名-30名（含30名）时，先去掉评标价最高、次高、第三高和最低、次低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（5）初评合格投标人在30名（不含30名）以上时，先去掉评标价四个较高和三个较低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
2.计算基准价
（1）计算有效投标人的评标价算术平均值A2。
（2）基准价=A2*（1-C）。
其中C为基准价浮动系数。
3.计算价格部分得分（按百分制计算，实际得分应以下述公式计算结果乘以价格评分权重）
价格部分得分=100-100×n×|投标人的评标总价-基准价|/基准价；
    当投标人的评标总价>=基准价，n=n1；
    当投标人的评标总价<基准价，n=n2；
当计算出的价格部分得分<0，按0分计。
4.参数取值：C=0，n1=1.0，n2=1.0。"
国网江苏省电力有限公司,2023,江苏,老,工作服3,湖北东源电力服装有限公司,0,831.336863,,,"1.确定有效投标人(仅为计算基准价使用)
（1）初评合格投标人在5名以内（含5名）时，评标价格在所有初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则所有初评合格投标人为有效投标人。
（2）评合格投标人在5名-10名（含10名）时，先去掉评标价最高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（3）初评合格投标人在10名-20名（含20名）时，先去掉评标价最高、次高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（4）初评合格投标人在20名-30名（含30名）时，先去掉评标价最高、次高、第三高和最低、次低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（5）初评合格投标人在30名（不含30名）以上时，先去掉评标价四个较高和三个较低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
2.计算基准价
（1）计算有效投标人的评标价算术平均值A2。
（2）基准价=A2*（1-C）。
其中C为基准价浮动系数。
3.计算价格部分得分（按百分制计算，实际得分应以下述公式计算结果乘以价格评分权重）
价格部分得分=100-100×n×|投标人的评标总价-基准价|/基准价；
    当投标人的评标总价>=基准价，n=n1；
    当投标人的评标总价<基准价，n=n2；
当计算出的价格部分得分<0，按0分计。
4.参数取值：C=0，n1=1.0，n2=1.0。"
国网江苏省电力有限公司,2023,江苏,老,工作服3,江苏扬子豚服饰有限公司,0,838.727629,,,"1.确定有效投标人(仅为计算基准价使用)
（1）初评合格投标人在5名以内（含5名）时，评标价格在所有初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则所有初评合格投标人为有效投标人。
（2）评合格投标人在5名-10名（含10名）时，先去掉评标价最高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（3）初评合格投标人在10名-20名（含20名）时，先去掉评标价最高、次高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（4）初评合格投标人在20名-30名（含30名）时，先去掉评标价最高、次高、第三高和最低、次低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（5）初评合格投标人在30名（不含30名）以上时，先去掉评标价四个较高和三个较低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
2.计算基准价
（1）计算有效投标人的评标价算术平均值A2。
（2）基准价=A2*（1-C）。
其中C为基准价浮动系数。
3.计算价格部分得分（按百分制计算，实际得分应以下述公式计算结果乘以价格评分权重）
价格部分得分=100-100×n×|投标人的评标总价-基准价|/基准价；
    当投标人的评标总价>=基准价，n=n1；
    当投标人的评标总价<基准价，n=n2；
当计算出的价格部分得分<0，按0分计。
4.参数取值：C=0，n1=1.0，n2=1.0。"
国网江苏省电力有限公司,2023,江苏,老,工作服3,山东希努尔服装有限公司,0,838.859455,,,"1.确定有效投标人(仅为计算基准价使用)
（1）初评合格投标人在5名以内（含5名）时，评标价格在所有初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则所有初评合格投标人为有效投标人。
（2）评合格投标人在5名-10名（含10名）时，先去掉评标价最高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（3）初评合格投标人在10名-20名（含20名）时，先去掉评标价最高、次高和最低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（4）初评合格投标人在20名-30名（含30名）时，先去掉评标价最高、次高、第三高和最低、次低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
（5）初评合格投标人在30名（不含30名）以上时，先去掉评标价四个较高和三个较低者后，评标价格在剩余X个初评合格投标人的评标价算术平均值A1的[-15%，15%]区间内（不含本数）的投标人为有效投标人。当区间内的合格投标人数为0时，则X个初评合格投标人为有效投标人。
2.计算基准价
（1）计算有效投标人的评标价算术平均值A2。
（2）基准价=A2*（1-C）。
其中C为基准价浮动系数。
3.计算价格部分得分（按百分制计算，实际得分应以下述公式计算结果乘以价格评分权重）
价格部分得分=100-100×n×|投标人的评标总价-基准价|/基准价；
    当投标人的评标总价>=基准价，n=n1；
    当投标人的评标总价<基准价，n=n2；
当计算出的价格部分得分<0，按0分计。
4.参数取值：C=0，n1=1.0，n2=1.0。"
